counter,start,storeDLT,storeKfrags,finish
0,1650937088178,1650937114382,1650937117152,1650937125437
1,1650937125600,1650937179511,1650937192330,1650937209518
2,1650937210462,1650937221297,1650937248122,1650937266490
3,1650937267361,1650937273332,1650937285505,1650937298412
4,1650937298427,1650937342665,1650937347791,1650937360968
5,1650937361565,1650937381043,1650937384950,1650937386775
6,1650937388999,1650937402764,1650937413399,1650937431410
7,1650937431512,1650937444011,1650937452015,1650937455893
8,1650937458569,1650937476683,1650937499315,1650937499812
9,1650937499943,1650937513036,1650937518060,1650937518564
