counter,start,storeDLT,storeKfrags,finish
0,1650938986219,1650939004729,1650939021965,1650939022611
1,1650939023059,1650939049882,1650939056993,1650939075736
2,1650939075888,1650939085143,1650939114122,1650939114641
3,1650939117921,1650939140963,1650939146590,1650939158987
4,1650939159579,1650939191139,1650939206702,1650939211920
5,1650939212577,1650939232297,1650939252476,1650939258612
6,1650939259820,1650939278584,1650939282286,1650939293937
7,1650939294302,1650939312506,1650939329892,1650939330533
8,1650939332562,1650939358967,1650939382924,1650939385216
9,1650939385542,1650939406066,1650939425519,1650939428797
